#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
hre1 14A 7 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
496 35.29 23.03 51.60 16.46 127.75
497 35.28 50.34 42.92 26.78 177.42
498 35.49 26.15 51.59 18.73 147.53
499 35.50 47.71 44.83 26.44 174.79
500 35.59 38.41 44.50 24.05 169.78
501 35.64 30.67 50.05 21.58 157.75
502 35.58 33.71 44.30 23.11 163.14
503 35.65 58.12 53.92 27.04 167.07
504 35.67 63.95 74.74 28.84 160.95
505 35.80 36.33 41.87 24.04 173.92
506 35.60 55.34 46.14 27.89 177.22
507 35.68 76.83 142.56 23.73 121.13
508 35.81 13.13 34.00 10.70 89.96
509 35.90 61.37 69.36 28.72 168.02
510 36.05 69.08 152.36 27.44 145.27
511 36.15 21.07 37.16 16.68 125.62
512 36.16 16.24 35.00 12.78 107.55
513 36.32 28.10 40.77 20.49 151.46
514 36.17 51.78 51.93 27.31 174.29
515 36.25 66.46 134.26 30.87 156.21
516 36.23 71.50 153.15 30.02 142.85
517 36.32 81.07 138.44 22.07 90.65
518 36.27 42.23 42.93 26.74 178.66
519 36.48 84.35 104.55 24.32 76.94
520 36.44 10.25 22.87 9.49 71.87
521 36.33 45.48 44.78 28.00 184.25
522 36.39 49.37 50.04 28.14 168.67
523 36.45 24.03 36.22 18.16 134.37
524 36.50 39.80 44.12 27.54 175.22
525 36.56 32.42 39.25 23.32 164.33
526 36.57 53.99 75.60 29.08 169.01
527 36.65 56.56 113.96 33.12 177.64
528 36.69 87.65 77.62 24.81 51.07
529 36.83 35.10 40.44 26.08 171.47
530 36.90 18.88 28.34 15.35 120.29
531 36.82 75.83 159.33 29.51 133.55
532 36.92 78.51 142.86 27.33 110.17
533 36.93 58.68 135.37 33.66 182.00
534 36.94 47.32 56.92 30.18 179.26
535 36.78 63.91 156.11 31.59 166.63
536 37.06 30.01 36.83 23.33 150.98
537 37.02 73.33 150.48 31.30 130.73
538 37.01 37.51 44.69 27.88 178.17
539 37.04 43.66 53.61 30.67 176.56
540 37.21 26.37 33.70 21.55 141.76
541 37.09 61.01 165.62 34.30 165.22
542 37.19 13.05 22.52 11.67 87.67
543 37.45 67.65 172.11 36.65 157.69
544 37.35 16.26 24.32 14.32 106.04
545 37.31 51.30 101.70 32.70 182.72
546 37.39 70.30 163.18 36.16 134.96
547 37.46 40.81 55.73 30.00 182.07
548 37.61 21.22 30.86 17.06 121.45
549 37.68 49.25 111.67 32.27 180.45
550 37.62 24.00 33.62 20.78 127.84
551 37.78 65.40 173.26 40.98 181.42
552 37.66 81.58 123.00 30.96 95.90
553 37.69 45.42 95.06 33.09 184.31
554 37.84 8.91 17.69 10.18 59.53
555 37.65 33.04 43.17 26.06 162.99
556 37.77 53.31 170.58 35.65 187.38
557 37.84 55.55 179.13 37.11 175.37
558 37.84 85.67 92.35 33.38 73.20
559 38.00 38.47 69.11 30.96 177.69
560 37.95 62.73 183.58 38.72 164.12
561 38.16 28.08 44.33 24.31 154.55
562 38.02 75.52 146.62 36.52 128.26
563 38.10 35.63 57.70 29.18 182.19
564 38.14 42.68 98.60 32.42 185.99
565 38.32 57.44 190.43 43.19 198.15
566 38.25 59.84 182.74 39.44 171.83
567 38.27 47.30 149.94 36.65 173.03
568 38.24 72.34 150.43 44.16 149.57
569 38.29 78.40 122.37 38.21 114.21
570 38.38 30.86 48.15 27.29 154.46
571 38.38 18.63 33.61 18.35 113.49
572 38.38 11.78 24.87 12.70 93.95
573 38.43 15.07 29.62 15.74 105.12
574 38.52 88.57 50.67 37.24 47.75
575 38.47 69.36 151.54 44.51 165.67
576 38.73 25.34 48.28 24.99 150.56
577 38.60 51.12 186.67 38.36 181.49
578 38.69 83.80 73.80 42.13 91.11
579 38.69 40.34 142.69 33.71 174.00
580 38.72 22.63 40.74 19.99 119.88
581 38.76 44.51 161.69 36.70 182.06
582 38.92 66.86 152.13 46.69 168.07
583 38.88 33.60 75.99 30.30 169.59
584 38.89 53.85 198.61 44.73 186.63
585 39.10 80.98 91.80 47.93 106.30
586 39.01 36.64 120.44 35.46 178.50
587 39.06 64.66 153.52 53.35 182.08
588 39.10 48.95 189.58 40.58 185.01
589 39.09 62.39 163.54 51.15 186.08
590 39.28 73.46 114.10 57.33 151.62
591 39.32 75.99 107.31 53.12 136.87
592 39.29 9.59 34.31 13.11 71.41
593 39.48 20.68 66.81 21.87 119.12
594 39.45 29.35 103.76 28.57 159.64
595 39.41 46.35 192.67 39.20 174.11
596 39.35 42.32 180.71 39.56 185.85
597 39.56 55.97 178.98 55.56 206.13
598 39.45 86.50 45.26 54.81 67.42
599 39.52 58.20 165.71 56.30 198.18
