AP,gt,kni,kr,hb,time
67,35.305749999999996,164.393,33.994,4.275333333333333,4
68,48.83888888888889,164.1486111111111,30.35,4.320967741935484,4
69,64.38263157894737,150.90894736842105,28.013333333333332,4.1896969696969695,4
70,86.8460606060606,125.63818181818182,25.88558823529412,4.094117647058823,4
71,96.375,113.67029411764706,23.797857142857143,3.989642857142857,4
72,127.50806451612904,87.34709677419355,23.437333333333335,4.188,4
73,125.67323529411765,83.74911764705882,22.78892857142857,4.219285714285714,4
74,145.42096774193547,68.85774193548387,21.368275862068966,4.618620689655172,4
75,144.67,63.72735294117647,21.649354838709677,5.686774193548387,4
76,137.8975,50.62625,21.070344827586208,7.441379310344828,4
77,129.77466666666666,47.340333333333334,21.2334375,9.8759375,4
78,118.0865625,41.2015625,20.44137931034483,13.02551724137931,4
79,102.11666666666666,38.022,19.2590625,17.554375,4
80,91.35137931034483,34.614137931034485,19.63423076923077,23.98423076923077,4
81,75.57038461538461,32.659615384615385,19.61037037037037,28.09037037037037,4
82,72.76285714285714,32.306785714285716,19.1512,31.4056,4
83,57.68217391304348,30.714782608695653,18.733846153846155,35.690384615384616,4
84,56.0808,30.5192,17.622142857142858,37.76571428571429,4
85,51.54083333333333,29.52583333333333,17.471176470588237,40.28411764705882,4
86,43.95708333333334,28.95916666666667,17.87181818181818,41.57681818181818,4
87,36.78740740740741,28.603333333333335,16.485625,38.2825,4
88,31.8496,29.0088,16.4695,40.5605,4
89,30.13086956521739,28.583913043478262,15.848888888888888,37.10888888888889,4
90,27.764444444444443,28.17222222222222,15.426470588235293,33.97,4
91,25.682777777777776,28.19111111111111,14.40625,25.5625,4
92,23.101666666666667,27.759444444444444,14.3085,21.9515,4
93,22.403333333333332,26.769444444444446,13.571176470588235,18.461176470588235,4
94,21.184166666666666,26.541666666666668,12.541428571428572,13.246428571428572,4
95,20.2,25.84916666666667,12.668333333333333,12.2075,4
96,18.886666666666667,24.0125,11.085833333333333,9.791666666666666,4
97,14.92625,22.185,10.08375,8.237499999999999,4
98,13.7275,20.8425,9.045,5.9399999999999995,4
