#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca5 14A 3 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
500 31.56 67.65 98.51 23.29 106.13
501 31.63 45.83 131.34 27.47 132.38
502 31.62 50.32 124.84 28.56 136.82
503 31.74 62.82 106.47 25.89 117.38
504 31.81 38.02 139.54 26.09 130.48
505 31.90 52.56 128.46 26.79 143.72
506 31.87 40.93 143.37 26.43 134.10
507 31.95 15.61 109.60 14.79 101.92
508 31.90 65.21 95.18 26.48 108.52
509 32.13 88.30 51.04 17.27 34.61
510 32.11 58.54 121.19 27.07 125.83
511 32.30 48.22 112.60 27.43 131.95
512 32.33 12.85 95.76 13.53 98.98
513 32.18 33.53 133.41 22.61 125.38
514 32.22 35.72 133.31 24.47 132.46
515 32.26 69.79 82.14 25.08 95.96
516 32.29 81.08 67.85 19.13 58.91
517 32.37 85.20 63.23 18.41 44.48
518 32.41 28.69 134.84 21.60 123.58
519 32.60 75.38 73.38 22.49 72.74
520 32.50 18.41 102.13 16.25 100.35
521 32.75 9.91 75.59 11.94 77.34
522 32.61 23.63 122.74 19.17 111.03
523 32.59 54.89 114.02 27.69 126.08
524 32.58 60.97 107.75 27.99 110.93
525 32.68 26.36 122.14 20.41 117.01
526 32.68 31.44 124.65 23.95 122.46
527 32.64 72.34 76.25 23.92 83.60
528 32.73 50.71 108.20 28.96 132.14
529 32.90 6.95 58.53 10.25 54.62
530 32.66 45.45 111.82 27.26 127.85
531 32.75 66.54 85.27 26.28 98.98
532 32.91 78.32 71.28 22.52 59.32
533 32.91 39.39 120.90 26.74 124.68
534 32.94 20.99 99.15 17.62 105.01
535 32.90 42.28 128.09 27.15 129.98
536 32.98 57.34 104.14 28.94 121.86
537 33.00 63.91 88.71 26.27 103.03
538 33.11 52.77 108.76 26.89 121.24
539 33.09 83.27 66.16 20.86 44.02
540 33.24 37.03 110.29 25.92 126.18
541 33.39 68.33 80.63 26.54 87.10
542 33.36 15.19 84.62 15.65 96.80
543 33.35 34.25 106.82 24.57 116.31
544 33.59 29.83 122.01 24.11 107.00
545 33.59 47.09 93.76 27.79 123.23
546 33.53 88.43 52.15 19.72 28.19
547 33.59 59.67 88.79 27.78 106.88
548 33.75 86.77 55.88 18.39 26.14
549 33.71 49.47 91.44 28.95 115.01
550 33.73 70.63 78.95 25.06 75.15
551 33.67 73.55 70.37 24.53 66.15
552 33.74 17.76 83.42 16.73 92.47
553 33.76 12.21 68.57 14.53 83.91
554 33.65 44.23 100.64 28.83 121.00
555 33.65 80.51 69.17 22.41 45.61
556 33.84 62.02 85.45 26.71 92.66
557 33.89 22.67 96.17 20.28 98.28
558 33.88 25.27 98.64 21.36 99.13
559 33.86 54.31 90.46 29.11 110.42
560 33.91 40.34 103.48 27.66 117.69
561 33.64 83.18 63.31 18.62 30.92
562 34.10 27.79 104.95 21.93 96.15
563 33.97 56.50 91.63 30.79 107.13
564 34.16 32.25 99.88 24.50 104.34
565 34.10 66.75 77.65 25.14 80.89
566 34.27 75.70 67.21 24.38 53.36
567 34.20 78.32 65.34 23.46 43.08
568 34.27 8.79 55.50 11.28 60.14
569 34.32 20.09 88.46 18.09 92.03
570 34.23 51.94 79.70 29.08 104.89
571 34.35 64.37 73.97 28.13 82.18
572 34.19 81.40 61.81 20.33 39.17
573 34.40 84.46 66.33 22.19 32.65
574 34.42 37.40 90.54 27.40 111.63
575 34.57 42.47 92.32 29.73 108.21
576 34.59 34.94 89.21 26.02 104.60
577 34.65 58.39 81.75 32.85 97.30
578 34.88 14.61 69.75 16.27 76.82
579 34.73 45.20 85.80 28.48 96.07
580 34.85 47.85 76.25 29.81 91.49
581 34.82 72.56 70.33 25.59 52.62
582 34.79 69.83 71.20 26.85 64.37
583 34.90 30.11 89.23 25.22 90.07
584 35.12 50.18 78.67 30.82 87.18
585 35.04 88.18 57.20 21.92 19.56
586 35.04 11.58 57.92 14.05 67.35
587 35.05 17.30 76.05 17.46 78.52
588 35.16 24.31 83.17 20.77 80.72
589 35.03 39.39 86.55 30.18 97.99
590 34.97 54.58 80.70 30.47 86.29
591 35.16 60.26 76.68 30.84 79.88
592 35.10 62.37 76.19 29.62 78.18
593 35.11 82.05 67.10 24.51 32.51
594 35.26 21.95 79.51 21.00 76.64
595 35.23 26.65 80.57 22.53 82.30
596 35.29 80.45 66.58 22.36 25.08
597 35.30 65.85 71.22 31.32 66.22
598 35.36 77.78 66.66 25.98 34.63
599 35.51 68.03 68.17 28.59 59.41
600 35.53 56.41 74.40 31.63 74.01
