#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
fa2 14A 6 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
551 34.05 39.77 121.26 24.66 175.84
552 34.23 33.52 147.03 23.92 172.26
553 34.10 86.35 83.30 14.00 85.68
554 34.18 23.91 109.13 21.74 145.85
555 34.31 77.60 73.28 17.29 123.32
556 34.27 42.52 92.89 25.09 174.76
557 34.26 65.70 46.98 21.38 140.36
558 34.31 29.52 130.75 21.08 168.21
559 34.35 53.57 60.91 24.47 161.10
560 34.42 68.52 43.06 19.06 122.93
561 34.45 18.92 65.88 18.40 136.51
562 34.35 49.11 67.31 25.24 168.24
563 34.51 80.25 101.36 16.84 109.32
564 34.41 26.49 112.62 21.91 127.73
565 34.38 62.38 41.49 21.54 140.95
566 34.60 12.93 50.31 17.92 114.85
567 34.65 46.99 65.90 25.90 176.89
568 34.64 56.12 49.57 23.84 155.25
569 34.69 58.88 47.99 21.91 149.96
570 34.81 83.13 110.89 15.64 104.38
571 34.83 21.67 62.40 19.69 145.36
572 34.84 31.36 96.58 21.55 148.17
573 34.92 16.05 47.96 17.98 129.44
574 34.97 70.72 52.98 19.75 129.88
575 34.82 90.51 98.46 12.68 77.82
576 34.83 35.52 90.71 22.80 170.44
577 34.86 44.65 78.31 24.69 192.60
578 34.94 73.52 59.14 17.86 128.66
579 34.97 38.44 76.92 22.56 167.80
580 35.07 9.13 35.52 14.75 106.70
581 35.15 51.30 49.76 25.25 158.33
582 35.16 40.73 71.75 25.32 174.77
583 35.18 28.07 74.02 21.48 156.17
584 35.32 85.75 124.70 14.52 98.72
585 35.34 24.17 56.87 18.52 137.80
586 35.32 63.99 49.15 22.55 157.02
587 35.37 66.31 47.43 21.58 131.26
588 35.30 10.61 39.38 16.86 108.74
589 35.38 61.26 43.26 22.91 142.10
590 35.67 75.35 112.78 17.71 122.05
591 35.52 33.64 68.90 23.04 166.64
592 35.48 42.98 57.88 24.58 180.95
593 35.58 48.93 44.53 23.71 164.14
594 35.58 53.50 48.39 24.61 148.09
595 35.63 77.86 129.84 16.86 116.16
596 35.93 88.60 118.81 14.19 91.59
597 35.74 18.96 39.45 17.43 128.03
598 35.78 36.74 52.93 22.10 167.53
599 35.79 56.08 44.19 22.72 152.20
600 35.85 81.01 146.76 16.80 100.96
